Team,Matches,GF,GA,GD,W,L,D,GF_avg,GA_avg,GD_avg,win_perc
Honduras,9,3,14,-11,0,6,3,0.32,1.55,-1.23,0.0
Egypt,7,5,12,-7,0,5,2,0.42,1.42,-1.0,0.0
DR Congo,3,0,14,-14,0,3,0,0.0,5.75,-5.75,0.0
Panama,3,2,11,-9,0,3,0,0.75,3.25,-2.5,0.0
Indonesia,1,0,6,-6,0,1,0,0.0,6.0,-6.0,0.0
Iceland,3,2,5,-3,0,2,1,0.75,1.75,-1.0,0.0
Iraq,3,1,4,-3,0,3,0,0.5,1.5,-1.0,0.0
Bolivia,6,1,20,-19,0,5,1,0.5,3.2,-2.7,0.0
Canada,3,0,5,-5,0,3,0,0.0,1.5,-1.5,0.0
China,3,0,9,-9,0,3,0,0.0,2.75,-2.75,0.0
Israel,3,1,3,-2,0,1,2,0.33,1.0,-0.67,0.0
